,adress,house_type,biarea_msq,sold_price_kr,date_sold,price_diff_%,agent,size_msq,rooms,omrade,kommun,utgangspris_kr
187,Hammar 570,Villa,,3800000,2020-06-03,6,ERA,129,4,Kungälv,Kungälv,3575000
188,Duvesjön 333,Villa,          31         ,3650000,2020-06-03,-1,ERA,125,4,Duvesjön,Kungälv,3675000
189,Allégatan 15B,Villa,,1800000,2020-06-02,9,Fastighetsbyrån,140,6,Centrum,Tibro,1650000
190,Bäreberg Östhalla 303,Villa,          65         ,2115000,2020-06-02,13,Fastighetsbyrån,160,6,Essunga,Essunga,1875000
191,Lanna Sörgården 2,Gård,          32         ,3995000,2020-06-02,0,Fastighetsbyrån,173,6,Varola,Skövde,4000000
192,Kristevik 623,Villa,          19         ,3750000,2020-06-02,0,Bostadsbutiken,173,7,Kristevik,Uddevalla,3750000
193,Ripgatan 10,Villa,          126         ,3555000,2020-06-02,9,Länsförsäkringar Fastighetsförmedling,103,7,Brämhult,Borås,3250000
194,Stafettgatan 34,Villa,,2100000,2020-06-02,18,Svensk Fastighetsförmedling,129,5,Norr,Åmål,1775000
195,Skånings-Åsaka Backgården 2,Villa,          37         ,2800000,2020-06-02,65,Broberg Mäkleri AB,146,6,Skånings-Åsaka,Skara,1700000
196,Gullfjäll 13,Vinterbonat fritidshus,,3325000,2020-06-01,-5,Fastighetsbyrån,80,4,Klövedal,Tjörn,3500000
197,Saleby Hagadal 1,Villa,,2530000,2020-06-01,51,Fastighetsbyrån,149,6,Saleby,Lidköping,1675000
198,Furuvägen 13,Villa,          84         ,2250000,2020-06-01,3,Fastighetsbyrån,84,4,Skee,Strömstad,2175000
199,Ringvägen 3,Villa,          12         ,1870000,2020-06-01,-6,Bostadsbutiken,102,4,Kissleberg,Uddevalla,2000000
200,Lilla Fjellsholmen 19,Vinterbonat fritidshus,,1900000,2020-06-01,-69,Gofab Fastighetsbyrå,108,4,Lilla Fjellsholmen,Kungälv,6125000
201,Lilla Idtjärnsgatan 9,Villa,,3995000,2020-06-01,15,Fastighetsbyrån,141,5,Vättlefjäll,Göteborg,3475000
202,Fjället 1,Villa,,3500000,2020-06-01,0,Mäklarhuset,95,5,Nöddö,Strömstad,3500000
203,Badhusvägen 17,Villa,          52         ,2570000,2020-06-01,29,ERA,100,5,Dalsjöfors,Borås,2000000
204,Strömstarevägen 11,Villa,          34         ,2800000,2020-05-31,-2,Fastighetsbyrån,68,4,Knipared - Olofstorp,Göteborg,2850000
